Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
CFAP46	ENSG00000171811.12	1.490	4.190	-1.060	4.67e-65
CFAP58-AS1	ENSG00000231233.1	0.745	3.770	-1.451	6.37e-90
CFAP74	ENSG00000142609.17	0.730	3.600	-1.411	5.83e-87
CFAP97	ENSG00000164323.12	14.410	3.510	1.773	7.40e-166
CFC1	ENSG00000136698.8	0.100	3.670	-2.086	7.00e-186
CFI	ENSG00000205403.12	6.315	1.410	1.602	1.12e-47
CGGBP1	ENSG00000163320.10	32.700	14.350	1.134	1.55e-102
CH17-140K24.6	ENSG00000279375.1	3.150	0.360	1.609	6.47e-99
CH17-258A22.4	ENSG00000274615.1	1.730	4.900	-1.112	1.04e-42
CH17-472G23.2	ENSG00000223804.5	17.035	7.020	1.169	7.52e-58
CH17-53B9.2	ENSG00000260157.3	0.000	1.060	-1.043	2.83e-78
CH25H	ENSG00000138135.6	6.140	1.300	1.634	2.92e-36
CH507-145C22.1	ENSG00000278903.3	3.750	0.320	1.847	1.13e-133
CH507-152C13.1	ENSG00000275895.4	83.739	31.100	1.400	6.79e-151
CH507-154B10.1	ENSG00000280145.3	2.885	0.380	1.493	8.26e-58
CH507-154B10.2	ENSG00000280018.3	4.690	0.240	2.198	1.40e-136
CH507-24F1.1	ENSG00000279094.3	1.220	0.060	1.067	4.64e-100
CH507-24F1.2	ENSG00000275496.4	7.305	1.210	1.910	1.19e-69
CH507-254M2.2	ENSG00000276077.4	13.585	2.060	2.253	4.47e-101
CH507-254M2.3	ENSG00000280164.1	2.345	0.280	1.386	1.51e-82
CH507-42P11.2	ENSG00000280013.1	1.585	0.000	1.370	2.78e-31
CH507-513H4.3	ENSG00000281181.1	466.731	2261.555	-2.274	3.29e-54
CH507-513H4.4	ENSG00000280614.1	466.731	2261.555	-2.274	3.29e-54
CH507-513H4.6	ENSG00000280800.1	466.731	2261.555	-2.274	3.30e-54
CHAC1	ENSG00000128965.11	1.580	8.200	-1.834	6.50e-77
CHAC2	ENSG00000143942.4	3.300	1.140	1.007	4.85e-102
CHAD	ENSG00000136457.9	0.300	3.790	-1.882	3.80e-96
CHADL	ENSG00000100399.15	33.900	9.270	1.765	5.57e-89
CHAMP1	ENSG00000198824.5	12.090	4.100	1.360	1.64e-135
CHCHD10	ENSG00000250479.8	69.733	211.248	-1.585	1.55e-62
CHCHD3	ENSG00000106554.11	42.936	16.580	1.321	7.81e-170
CHCHD5	ENSG00000125611.15	37.996	13.840	1.394	4.26e-184
CHD4	ENSG00000111642.14	124.184	41.131	1.571	6.46e-198
CHD5	ENSG00000116254.17	3.250	66.132	-3.981	1.84e-132
CHD6	ENSG00000124177.14	13.320	5.860	1.062	9.47e-72
CHD7	ENSG00000171316.11	26.780	3.440	2.645	1.92e-151
CHD9	ENSG00000177200.15	18.020	4.880	1.694	3.99e-153
CHEK1	ENSG00000149554.12	3.250	0.900	1.161	3.12e-83
CHGA	ENSG00000100604.12	30.245	165.271	-2.412	1.88e-54
CHI3L1	ENSG00000133048.12	10.065	26.690	-1.323	1.14e-3
CHI3L2	ENSG00000064886.13	12.825	0.640	3.076	9.95e-52
CHIC2	ENSG00000109220.10	11.070	3.960	1.283	1.86e-99
CHID1	ENSG00000177830.17	78.438	38.529	1.007	7.57e-117
CHMP6	ENSG00000176108.9	26.329	11.230	1.160	5.97e-160
CHN1	ENSG00000128656.13	66.944	533.409	-2.976	1.37e-94
CHRAC1	ENSG00000104472.9	12.750	4.480	1.327	3.60e-133
CHRD	ENSG00000090539.15	8.255	30.939	-1.787	1.77e-97
CHRM1	ENSG00000168539.3	4.195	35.150	-2.799	6.70e-68
CHRM3	ENSG00000133019.11	0.570	6.220	-2.201	4.97e-55
CHRNA2	ENSG00000120903.10	0.190	2.860	-1.698	8.37e-88
CHRNB1	ENSG00000170175.10	19.550	9.050	1.032	2.58e-106
CHST11	ENSG00000171310.10	20.225	4.660	1.907	7.56e-155
CHST14	ENSG00000169105.7	13.855	2.130	2.247	1.47e-234
CHST3	ENSG00000122863.5	14.120	2.870	1.966	4.56e-134
CHST8	ENSG00000124302.12	2.155	5.740	-1.095	4.29e-21
CHST9	ENSG00000154080.12	12.895	0.310	3.407	1.20e-125
CHSY1	ENSG00000131873.5	10.745	3.850	1.276	9.29e-76
CHURC1-FNTB	ENSG00000125954.12	1.865	0.290	1.151	1.62e-83
CIB1	ENSG00000185043.10	65.055	30.060	1.089	1.35e-95
CIDEA	ENSG00000176194.17	0.215	4.470	-2.171	1.35e-119
CIRBP	ENSG00000099622.13	599.077	265.266	1.172	6.42e-101
CIT	ENSG00000122966.13	16.005	43.119	-1.375	9.63e-43
CKAP2	ENSG00000136108.14	10.115	3.600	1.273	1.18e-80
CKAP4	ENSG00000136026.13	24.230	9.020	1.332	1.89e-154
CKLF	ENSG00000217555.12	41.250	9.280	2.039	5.34e-225
CKM	ENSG00000104879.4	0.050	2.020	-1.524	3.56e-158
CKMT1A	ENSG00000223572.9	9.040	45.911	-2.224	3.15e-52
CKMT1B	ENSG00000237289.9	12.245	80.509	-2.622	5.16e-76
CKMT2	ENSG00000131730.15	2.095	5.640	-1.101	6.70e-56
CKS1B	ENSG00000173207.12	25.765	9.840	1.304	3.39e-115
CKS1BP3	ENSG00000268942.2	2.355	0.000	1.746	2.86e-70
CKS2	ENSG00000123975.4	19.680	5.310	1.712	1.31e-85
CLCN3	ENSG00000109572.13	57.569	19.140	1.540	6.68e-118
CLDN10	ENSG00000134873.9	7.335	40.481	-2.315	1.32e-52
CLEC2D	ENSG00000069493.14	3.860	1.330	1.061	7.21e-71
CLEC2L	ENSG00000236279.6	2.135	35.380	-3.537	1.08e-103
CLEC4E	ENSG00000166523.7	1.955	0.310	1.174	3.07e-30
CLEC4G	ENSG00000182566.12	0.190	2.560	-1.581	1.29e-102
CLEC4GP1	ENSG00000268297.1	0.070	1.330	-1.123	3.25e-91
CLEC7A	ENSG00000172243.17	3.245	0.940	1.130	3.57e-32
CLEC9A	ENSG00000197992.6	2.035	0.380	1.137	1.72e-45
CLGN	ENSG00000153132.12	3.890	1.400	1.027	1.38e-41
CLIC1	ENSG00000213719.8	41.044	12.290	1.662	8.94e-59
CLIC4	ENSG00000169504.14	81.123	14.970	2.362	5.78e-136
CLINT1	ENSG00000113282.13	25.825	10.660	1.202	1.91e-98
CLN5	ENSG00000102805.13	17.150	6.080	1.358	1.24e-122
CLN8	ENSG00000182372.7	10.450	4.190	1.142	1.09e-91
CLNS1A	ENSG00000074201.8	186.825	54.731	1.753	1.47e-223
CLP1	ENSG00000172409.5	6.925	2.750	1.080	2.67e-155
CLPB	ENSG00000162129.12	13.820	5.900	1.103	2.92e-123
CLPP	ENSG00000125656.8	68.166	31.639	1.083	1.09e-131
CLPX	ENSG00000166855.9	22.485	8.920	1.243	4.94e-122
CLSTN3	ENSG00000139182.13	24.155	84.401	-1.763	3.84e-42
CLU	ENSG00000120885.19	11137.593	4463.933	1.319	1.36e-48
CLUAP1	ENSG00000103351.12	28.744	12.940	1.093	2.61e-131
CLUL1	ENSG00000079101.16	0.660	2.330	-1.004	2.25e-30
CMAHP	ENSG00000168405.14	1.955	7.760	-1.568	2.28e-106
CMC4	ENSG00000182712.15	17.380	7.240	1.157	6.56e-154
CMKLR1	ENSG00000174600.13	4.700	0.410	2.015	4.25e-131
CMTM3	ENSG00000140931.19	39.105	3.400	3.188	1.04e-245
CMTM5	ENSG00000166091.19	83.155	17.060	2.220	2.32e-84
CMTM6	ENSG00000091317.7	13.660	3.500	1.704	5.53e-153
CMTM7	ENSG00000153551.13	6.790	1.330	1.741	1.03e-93
CMTR2	ENSG00000180917.16	6.910	2.100	1.351	2.03e-142
CMYA5	ENSG00000164309.14	1.230	3.700	-1.076	1.28e-29
CNBP	ENSG00000169714.16	285.500	128.088	1.150	1.73e-133
CNGA3	ENSG00000144191.11	2.125	0.310	1.254	1.36e-46
CNGB1	ENSG00000070729.13	0.070	2.710	-1.794	2.47e-86
CNIH2	ENSG00000174871.10	38.675	91.328	-1.219	1.45e-44
CNKSR2	ENSG00000149970.14	6.335	20.649	-1.561	5.07e-45
CNKSR3	ENSG00000153721.17	7.700	2.190	1.447	2.10e-121
CNN1	ENSG00000130176.7	1.165	5.050	-1.483	1.19e-49
CNN2	ENSG00000064666.14	8.940	2.010	1.723	3.17e-72
CNN3	ENSG00000117519.15	244.959	66.560	1.864	5.15e-95
CNNM1	ENSG00000119946.10	1.155	10.930	-2.469	3.06e-105
CNOT2	ENSG00000111596.11	35.270	15.550	1.132	1.28e-93
CNOT6	ENSG00000113300.11	10.500	4.110	1.170	1.24e-108
CNOT6L	ENSG00000138767.12	6.785	2.880	1.005	2.90e-91
CNOT8	ENSG00000155508.13	40.230	19.020	1.042	5.06e-102
CNP	ENSG00000173786.16	270.933	108.842	1.308	1.90e-45
CNPPD1	ENSG00000115649.15	59.759	23.460	1.313	1.80e-178
CNPY3	ENSG00000137161.16	58.634	21.540	1.404	7.68e-181
CNPY4	ENSG00000166997.7	20.515	8.210	1.224	1.66e-125
CNTLN	ENSG00000044459.14	2.860	0.800	1.101	1.74e-120
CNTN1	ENSG00000018236.14	101.321	40.299	1.309	4.84e-35
CNTN3	ENSG00000113805.8	4.275	9.620	-1.010	2.08e-21
CNTN4	ENSG00000144619.14	1.370	5.460	-1.447	4.16e-50
CNTNAP1	ENSG00000108797.11	18.165	55.161	-1.551	9.16e-52
CNTNAP2	ENSG00000174469.17	7.835	26.800	-1.654	2.68e-41
COA4	ENSG00000181924.6	70.545	19.191	1.825	2.90e-231
COG2	ENSG00000135775.13	20.210	8.540	1.153	1.10e-140
COG4	ENSG00000103051.18	48.005	20.740	1.173	3.97e-152
COG8	ENSG00000213380.13	23.226	9.880	1.155	4.77e-148
COL12A1	ENSG00000111799.20	1.100	3.570	-1.122	4.93e-27
COL1A2	ENSG00000164692.17	8.335	3.530	1.043	1.86e-31
COL20A1	ENSG00000101203.16	24.360	10.750	1.110	1.13e-14
COL23A1	ENSG00000050767.15	1.425	5.190	-1.352	6.80e-30
COL24A1	ENSG00000171502.14	0.110	2.790	-1.772	6.46e-174
COL26A1	ENSG00000160963.13	2.185	17.710	-2.554	3.13e-98
COL3A1	ENSG00000168542.12	2.465	0.580	1.133	1.31e-29
COL4A1	ENSG00000187498.14	6.030	2.110	1.177	3.36e-27
COL5A2	ENSG00000204262.11	2.315	7.420	-1.345	2.11e-17
COL5A3	ENSG00000080573.6	7.730	23.119	-1.466	8.75e-48
COL7A1	ENSG00000114270.15	6.385	16.000	-1.203	5.92e-34
COL8A2	ENSG00000171812.10	1.890	0.240	1.221	3.78e-64
COL9A1	ENSG00000112280.15	1.885	5.540	-1.181	2.67e-16
COL9A3	ENSG00000092758.15	12.140	27.689	-1.127	2.15e-20
COLGALT2	ENSG00000198756.10	38.700	15.310	1.283	1.64e-88
COMMD2	ENSG00000114744.8	18.140	6.020	1.447	4.24e-141
COMMD4	ENSG00000140365.15	81.905	37.809	1.095	9.76e-124
COMMD6	ENSG00000188243.12	177.742	63.720	1.466	1.55e-162
COMT	ENSG00000093010.11	247.725	76.140	1.689	7.93e-187
COPB1	ENSG00000129083.12	35.695	15.830	1.125	3.32e-124
COPB2	ENSG00000184432.9	57.715	22.930	1.295	7.05e-143
COPG2	ENSG00000158623.14	23.035	8.190	1.387	6.76e-144
COPZ1	ENSG00000111481.9	100.729	42.709	1.219	1.84e-154
COQ2	ENSG00000173085.13	6.495	2.310	1.179	6.98e-147
COQ5	ENSG00000110871.14	29.816	14.050	1.034	1.15e-143
COQ7	ENSG00000167186.10	16.595	7.700	1.016	5.51e-145
CORO1B	ENSG00000172725.13	55.260	18.220	1.550	1.01e-198
CORO1C	ENSG00000110880.10	85.259	18.850	2.120	1.53e-176
CORO2A	ENSG00000106789.12	0.290	1.930	-1.183	4.07e-87
CORO6	ENSG00000167549.18	2.830	76.029	-4.330	2.86e-169
CORO7	ENSG00000262246.5	39.281	18.050	1.080	8.96e-89
CORT	ENSG00000241563.3	1.380	6.020	-1.561	1.86e-58
COTL1	ENSG00000103187.7	113.303	39.711	1.489	7.61e-101
COX10-AS1	ENSG00000236088.9	7.890	3.080	1.124	1.65e-123
COX16	ENSG00000133983.14	58.175	26.640	1.098	4.06e-133
COX7A1	ENSG00000161281.10	25.475	67.770	-1.377	1.13e-26
COX7CP1	ENSG00000235957.1	0.000	6.300	-2.868	4.62e-142
CPE	ENSG00000109472.13	907.339	450.379	1.009	5.30e-30
CPLX1	ENSG00000168993.14	24.850	172.134	-2.744	1.43e-89
CPLX2	ENSG00000145920.14	38.276	288.054	-2.880	8.47e-61
CPLX3	ENSG00000213578.5	0.765	5.860	-1.958	3.70e-51
CPM	ENSG00000135678.11	7.380	3.040	1.053	5.74e-38
CPNE2	ENSG00000140848.16	114.876	23.060	2.268	6.55e-194
CPNE3	ENSG00000085719.11	36.450	7.470	2.145	2.41e-208
CPNE4	ENSG00000196353.11	2.460	15.440	-2.248	4.99e-64
CPNE6	ENSG00000100884.9	6.410	55.341	-2.927	1.49e-73
CPNE7	ENSG00000178773.14	1.110	17.701	-3.148	3.34e-135
CPNE8	ENSG00000139117.13	1.145	6.540	-1.814	5.30e-94
CPNE9	ENSG00000144550.12	0.690	20.930	-3.698	7.67e-174
CPS1	ENSG00000021826.14	3.960	1.140	1.213	1.94e-64
CPSF2	ENSG00000165934.12	18.275	5.180	1.641	3.15e-125
CPSF3	ENSG00000119203.13	22.710	8.290	1.352	1.46e-172
CPSF6	ENSG00000111605.16	25.205	11.240	1.098	2.78e-113
CPT2	ENSG00000157184.5	11.660	4.320	1.251	6.66e-138
CPVL	ENSG00000106066.13	20.130	1.160	3.290	2.92e-161
CPXM1	ENSG00000088882.7	24.725	0.330	4.274	3.27e-186
CRABP1	ENSG00000166426.7	0.915	7.990	-2.231	3.11e-60
CRADD	ENSG00000169372.12	15.680	6.020	1.249	1.44e-156
CRB1	ENSG00000134376.14	22.670	6.320	1.693	1.34e-98
CRCP	ENSG00000241258.6	25.839	11.900	1.057	3.39e-123
CREB1	ENSG00000118260.14	11.485	4.960	1.067	1.27e-79
CREB3L2	ENSG00000182158.14	7.140	1.810	1.534	1.38e-137
CREB3L4	ENSG00000143578.15	8.775	2.150	1.634	5.14e-121
CREB5	ENSG00000146592.16	7.425	2.840	1.134	6.91e-42
CREBBP	ENSG00000005339.12	21.495	9.260	1.133	2.09e-87
CREG2	ENSG00000175874.9	2.225	30.290	-3.278	1.75e-68
CRELD1	ENSG00000163703.17	29.530	70.962	-1.237	3.26e-77
CRH	ENSG00000147571.4	0.200	6.040	-2.553	1.09e-99
CRHR1	ENSG00000120088.14	1.990	12.360	-2.160	3.02e-102
CRHR2	ENSG00000106113.18	0.120	1.900	-1.373	3.64e-135
CRIPT	ENSG00000119878.5	19.339	8.970	1.029	1.93e-140
CRISPLD1	ENSG00000121005.8	18.045	1.200	3.114	9.57e-168
CRK	ENSG00000167193.7	34.165	13.990	1.230	9.13e-154
CRKL	ENSG00000099942.12	47.141	21.070	1.125	1.65e-106
CRLS1	ENSG00000088766.11	50.380	17.250	1.493	1.70e-153
CRNDE	ENSG00000245694.8	2.270	0.370	1.255	5.19e-42
CRNKL1	ENSG00000101343.14	16.785	5.860	1.374	2.94e-183
CRTAC1	ENSG00000095713.13	34.370	14.550	1.186	8.36e-23
CRTAP	ENSG00000170275.14	56.966	20.470	1.433	3.71e-119
CRY1	ENSG00000008405.11	15.360	5.560	1.318	3.79e-121
CRYAB	ENSG00000109846.7	3861.243	350.628	3.457	1.63e-112
CRYM	ENSG00000103316.10	5.815	102.047	-3.918	5.10e-71
CSDC2	ENSG00000172346.14	35.542	13.000	1.384	7.64e-26
CSF1	ENSG00000184371.13	30.420	5.320	2.314	9.96e-124
CSF1R	ENSG00000182578.13	52.456	5.830	2.968	1.60e-127
CSF2RA	ENSG00000198223.14	12.600	1.270	2.583	9.21e-132
CSF3R	ENSG00000119535.17	10.050	3.950	1.159	7.45e-31
CSK	ENSG00000103653.16	46.859	17.960	1.336	4.01e-176
CSMD3	ENSG00000164796.17	6.125	2.320	1.102	3.82e-25
CSNK1A1	ENSG00000113712.16	92.625	40.649	1.169	2.22e-124
CSNK1E	ENSG00000213923.10	160.179	75.583	1.074	1.39e-75
CSNK1G3	ENSG00000151292.17	10.810	4.830	1.018	2.89e-79
CSNK2A1	ENSG00000101266.16	50.275	19.450	1.326	2.17e-123
CSPG4	ENSG00000173546.7	17.425	3.910	1.908	6.46e-74
CSPG5	ENSG00000114646.9	172.774	52.980	1.687	6.98e-62
CSRNP1	ENSG00000144655.14	20.854	8.030	1.275	9.29e-70
CSRP2	ENSG00000175183.9	117.812	16.360	2.775	3.98e-114
CSTF1	ENSG00000101138.11	16.105	6.770	1.138	1.08e-148
CSTF2	ENSG00000101811.13	12.430	4.330	1.333	3.03e-143
CSTF2T	ENSG00000177613.8	18.985	7.320	1.264	1.07e-135
CTA-14H9.5	ENSG00000261353.1	1.550	5.650	-1.383	1.14e-84
CTA-228A9.3	ENSG00000272720.1	0.805	4.560	-1.623	1.99e-127
CTB-113P19.4	ENSG00000260581.1	0.170	1.460	-1.072	3.92e-133
CTB-131K11.1	ENSG00000266469.1	12.175	5.250	1.076	3.47e-90
CTB-178M22.2	ENSG00000253978.1	2.570	0.570	1.185	1.18e-78
CTB-1I21.1	ENSG00000250284.1	1.120	0.000	1.084	4.68e-45
CTB-25B13.12	ENSG00000267317.2	3.725	1.180	1.116	1.16e-86
CTB-31O20.6	ENSG00000267125.2	5.820	18.570	-1.521	7.43e-55
CTB-55O6.8	ENSG00000141854.7	7.235	17.040	-1.131	8.72e-74
CTB-63M22.1	ENSG00000229119.3	89.417	4.940	3.928	3.45e-128
CTB-75G16.3	ENSG00000275720.1	0.645	2.440	-1.064	1.26e-82
CTB-78F1.1	ENSG00000254187.1	0.050	3.460	-2.087	7.71e-163
CTB-79E8.3	ENSG00000253683.1	0.000	7.940	-3.160	3.80e-178
CTBP1-AS2	ENSG00000196810.4	13.230	4.490	1.374	9.84e-138
CTBP2	ENSG00000175029.16	31.760	12.160	1.316	8.42e-121
CTC-251I16.1	ENSG00000279496.1	2.950	21.070	-2.482	3.04e-127
CTC-332L22.1	ENSG00000271849.1	0.740	3.090	-1.233	6.79e-89
CTC-344H19.4	ENSG00000268401.1	0.210	2.170	-1.390	2.78e-155
CTC-429P9.4	ENSG00000268790.5	1.465	0.000	1.302	1.19e-40
CTC-487M23.8	ENSG00000272869.5	3.680	1.050	1.191	4.23e-97
CTC-510F12.6	ENSG00000267576.1	2.270	7.410	-1.363	3.18e-63
CTC-510F12.7	ENSG00000273733.1	1.450	4.960	-1.283	2.27e-104
CTC-512J14.5	ENSG00000248569.1	1.280	0.070	1.091	1.33e-189
CTC-529I10.1	ENSG00000275413.1	1.215	4.600	-1.338	1.04e-107
CTC-559E9.1	ENSG00000266904.5	9.305	3.750	1.117	2.90e-112
CTC-564N23.2	ENSG00000250615.1	31.140	6.700	2.061	2.83e-163
CTC-575D19.1	ENSG00000233913.7	4.820	1.170	1.423	7.04e-20
CTCF	ENSG00000102974.14	26.761	11.630	1.136	7.98e-150
CTD-2006C1.2	ENSG00000219665.8	4.670	1.710	1.065	2.05e-92
CTD-2017C7.2	ENSG00000259088.1	1.855	0.390	1.038	5.58e-111
CTD-2020K17.1	ENSG00000267121.5	0.815	5.930	-1.933	1.72e-157
CTD-2020K17.3	ENSG00000233175.2	0.740	6.520	-2.112	1.31e-140
CTD-2023N9.3	ENSG00000249436.1	0.290	14.040	-3.543	2.20e-167
CTD-2126E3.4	ENSG00000267890.1	2.375	13.690	-2.122	4.88e-158
CTD-2186M15.3	ENSG00000272086.1	6.690	2.820	1.009	7.53e-113
CTD-2196E14.7	ENSG00000279618.1	4.500	0.970	1.481	5.68e-17
CTD-2228A4.1	ENSG00000271892.1	0.455	7.840	-2.603	1.02e-179
CTD-2231E14.8	ENSG00000269243.1	20.975	9.840	1.019	1.27e-119
CTD-2270L9.4	ENSG00000260136.5	3.695	0.870	1.328	6.69e-147
CTD-2287O16.1	ENSG00000185641.6	46.510	18.040	1.319	4.71e-47
CTD-2325P2.4	ENSG00000259038.1	2.700	8.880	-1.417	7.67e-36
CTD-2349P21.12	ENSG00000276250.1	1.710	4.780	-1.093	1.35e-81
CTD-2366F13.2	ENSG00000272123.1	0.720	2.630	-1.078	9.11e-102
CTD-2369P2.12	ENSG00000267303.1	13.015	5.320	1.149	3.65e-36
CTD-2396E7.10	ENSG00000268191.1	2.880	23.650	-2.667	3.11e-81
CTD-2396E7.9	ENSG00000268203.1	2.905	13.840	-1.926	2.01e-62
CTD-2510F5.6	ENSG00000265303.1	0.110	1.420	-1.125	1.36e-4
CTD-2527I21.4	ENSG00000221857.7	0.605	18.810	-3.626	1.86e-137
CTD-2531D15.5	ENSG00000255126.1	0.000	5.470	-2.694	5.54e-14
CTD-2545G14.4	ENSG00000279812.1	1.650	0.000	1.406	4.79e-3
CTD-2560E9.3	ENSG00000254664.1	0.060	1.620	-1.306	1.20e-117
CTD-2562J17.4	ENSG00000255136.2	0.130	3.310	-1.931	9.37e-168
CTD-2562J17.6	ENSG00000279117.1	18.155	63.162	-1.744	6.42e-60
CTD-2647L4.4	ENSG00000259366.1	3.995	1.310	1.113	1.11e-49
CTD-3074O7.5	ENSG00000255517.6	6.805	2.560	1.133	1.54e-118
CTD-3162L10.1	ENSG00000267053.6	2.365	7.600	-1.354	2.51e-67
CTD-3193K9.3	ENSG00000267765.1	0.720	4.020	-1.545	8.97e-104
CTD-3193O13.1	ENSG00000260500.1	0.370	2.760	-1.457	3.78e-147
CTD-3220F14.1	ENSG00000267605.5	1.060	3.360	-1.082	9.07e-80
CTDNEP1	ENSG00000175826.11	143.992	70.170	1.027	1.06e-137
CTDSP1	ENSG00000144579.7	61.686	17.940	1.727	3.66e-188
CTDSPL2	ENSG00000137770.13	10.015	2.860	1.513	9.97e-113
CTGF	ENSG00000118523.5	38.625	5.640	2.577	4.51e-111
CTNNB1	ENSG00000168036.16	132.155	51.339	1.347	1.47e-130
CTNNBL1	ENSG00000132792.18	46.565	22.181	1.037	1.08e-134
CTNS	ENSG00000040531.14	12.535	4.370	1.334	1.78e-162
CTPS2	ENSG00000047230.14	11.340	3.070	1.600	3.08e-179
CTSC	ENSG00000109861.15	19.565	3.330	2.248	8.60e-101
CTSL	ENSG00000135047.14	78.110	32.830	1.226	4.77e-105
CTSO	ENSG00000256043.2	32.446	5.660	2.328	6.24e-180
CTSS	ENSG00000163131.10	18.295	2.020	2.676	6.93e-113
CTTNBP2	ENSG00000077063.10	20.520	7.410	1.355	2.57e-63
CTXN1	ENSG00000178531.5	45.130	204.604	-2.156	1.31e-93
CTXN3	ENSG00000205279.8	0.095	14.620	-3.834	1.47e-164
CUEDC1	ENSG00000180891.12	63.135	13.570	2.138	2.41e-214
CUL4B	ENSG00000158290.16	24.625	11.600	1.024	1.12e-97
CUX1	ENSG00000257923.9	63.438	30.170	1.048	3.16e-130
CUX2	ENSG00000111249.13	2.940	10.050	-1.488	2.12e-34
CWF19L2	ENSG00000152404.15	8.125	2.680	1.310	5.43e-146
CX3CR1	ENSG00000168329.13	21.775	1.420	3.234	8.81e-110
CXCL12	ENSG00000107562.16	12.105	4.920	1.146	2.15e-59
CXCL14	ENSG00000145824.12	10.715	67.531	-2.548	8.23e-49
CXCL16	ENSG00000161921.14	44.289	5.270	2.853	2.35e-188
CXCR4	ENSG00000121966.6	17.980	3.320	2.135	3.19e-98
CXorf38	ENSG00000185753.12	7.365	2.680	1.185	1.67e-155
CXorf57	ENSG00000147231.13	6.215	2.360	1.103	2.93e-43
CXXC4	ENSG00000168772.10	10.430	2.620	1.659	5.21e-96
CYB561	ENSG00000008283.15	7.120	26.770	-1.774	3.09e-59
CYB561D2	ENSG00000114395.10	16.875	6.360	1.280	2.81e-165
CYB5A	ENSG00000166347.18	52.115	22.980	1.147	2.28e-143
CYB5R4	ENSG00000065615.13	6.930	2.420	1.213	1.24e-90
CYBA	ENSG00000051523.10	62.214	11.590	2.328	4.22e-106
CYBB	ENSG00000165168.7	11.965	0.980	2.711	1.61e-115
CYCSP8	ENSG00000232503.1	0.000	1.320	-1.214	1.71e-116
CYFIP1	ENSG00000273749.4	50.655	15.890	1.613	4.28e-116
CYGB	ENSG00000161544.9	2.515	11.340	-1.812	3.44e-60
CYP1B1-AS1	ENSG00000232973.11	0.285	1.940	-1.194	3.69e-105
CYP20A1	ENSG00000119004.14	6.485	1.480	1.594	5.50e-179
CYP26B1	ENSG00000003137.8	1.610	4.940	-1.186	2.19e-20
CYP2C8	ENSG00000138115.13	0.165	2.710	-1.671	1.33e-194
CYP2D7	ENSG00000205702.10	1.975	6.140	-1.263	6.77e-72
CYP2E1	ENSG00000130649.9	4.110	10.590	-1.182	6.04e-42
CYP2U1	ENSG00000155016.17	11.185	3.830	1.335	3.40e-132
CYP46A1	ENSG00000036530.8	17.365	75.290	-2.055	2.66e-84
CYP4F29P	ENSG00000228314.1	0.130	1.660	-1.235	1.12e-63
CYP4F35P	ENSG00000265787.1	0.150	7.930	-2.957	7.66e-293
CYP4X1	ENSG00000186377.7	0.825	7.750	-2.261	8.56e-106
CYP51A1	ENSG00000001630.15	48.366	22.930	1.045	2.31e-55
CYTH4	ENSG00000100055.20	5.520	1.650	1.299	1.65e-56
CYTL1	ENSG00000170891.10	5.215	0.630	1.931	2.22e-91
D4S234E	ENSG00000168824.14	23.110	48.110	-1.026	5.20e-18
DAAM2	ENSG00000146122.16	93.341	29.829	1.614	2.70e-26
DAB2	ENSG00000153071.14	11.740	2.410	1.902	6.01e-132
DAD1	ENSG00000129562.10	265.956	96.817	1.448	2.57e-176
DAG1	ENSG00000173402.11	49.975	13.670	1.797	4.51e-165
DANCR	ENSG00000226950.6	104.014	47.851	1.104	4.83e-83
DAP	ENSG00000112977.15	44.310	21.029	1.040	5.66e-108
DAPL1	ENSG00000163331.10	4.770	0.560	1.887	1.59e-64
DARS	ENSG00000115866.10	91.315	25.440	1.804	2.59e-198
DARS2	ENSG00000117593.9	6.595	2.560	1.093	1.04e-121
DAZAP2	ENSG00000183283.15	370.620	114.650	1.684	4.04e-171
DBF4	ENSG00000006634.7	4.935	1.890	1.038	5.14e-78
DBH	ENSG00000123454.10	0.130	1.300	-1.025	3.24e-131
DBH-AS1	ENSG00000225756.1	0.380	2.300	-1.258	5.82e-107
DBI	ENSG00000155368.16	1067.188	207.892	2.354	3.25e-180
DBNDD1	ENSG00000003249.13	13.160	68.550	-2.296	2.99e-85
DBR1	ENSG00000138231.12	9.485	3.620	1.182	3.25e-154
DCAF12	ENSG00000198876.12	24.400	5.090	2.060	5.43e-209
DCAF13	ENSG00000164934.13	25.539	6.670	1.791	2.12e-213
DCAF16	ENSG00000163257.10	14.920	5.860	1.215	6.20e-98
DCAF6	ENSG00000143164.15	23.320	51.951	-1.123	1.60e-49
DCAF7	ENSG00000136485.14	44.676	12.480	1.761	5.24e-188
DCAKD	ENSG00000172992.11	81.385	27.561	1.528	4.56e-171
DCK	ENSG00000156136.9	17.385	8.090	1.016	3.06e-69
DCLK2	ENSG00000170390.14	124.120	32.199	1.914	5.79e-151
DCLRE1B	ENSG00000118655.4	4.225	1.250	1.216	3.45e-131
DCPS	ENSG00000110063.8	12.075	4.910	1.146	5.84e-148
DCTN1-AS1	ENSG00000237737.5	0.560	4.610	-1.846	2.37e-83
DCTN4	ENSG00000132912.12	53.105	18.100	1.502	6.08e-152
DCX	ENSG00000077279.16	10.315	1.400	2.237	3.44e-83
DDAH2	ENSG00000213722.8	98.053	28.670	1.739	4.62e-138
DDIT4	ENSG00000168209.4	145.431	40.791	1.809	3.32e-71
